domain,organization_name,suborganization_name,state,domain_type
colquittga.gov,City of Colquitt,,GA,City
pontotocms.gov,City of Pontotoc,,MS,City
mwtown.gov,Town of Manitowish Waters,,WI,City
azsos.gov,Arizona Secretary of State,,AZ,State or territory
salinecountymo.gov,County of Saline,,MO,County
ashlandoregon.gov,"City of Ashland, Oregon",,OR,City
portlandtx.gov,City of Portland,,TX,City
winchendon-ma.gov,Town of Winchendon MA,,MA,City
trumpcard.gov,Executive Office of the President,Department of Government Efficiency,DC,Federal - Executive
louisiananetzero.gov,Louisiana Economic Development,,LA,State or territory
boroughofnewtownct.gov,Borough of Newtown,,CT,City
ashtabulacounty.gov,County of Ashtabula,,OH,County
prismrisk.gov,"Public Risk Innovation, Solutions, and Management",,CA,Special district
hermiston.gov,City of Hermiston,,OR,City
lewiscountyny.gov,"Lewis County, NY",,NY,County
shippensburgpdpa.gov,Borough of Shippensburg,,PA,City
nemi.gov,Department of the Interior,United States Geological Survey,DC,Federal - Executive
townofnewportny.gov,Town of Newport,,NY,City
madisoncountyal.gov,Madison County Commission,,AL,County
rometownshipathcooh.gov,Rome Township,,OH,City
springdalesc.gov,Town of Springdale,,SC,City
waukesha-wi.gov,City of Waukesha,,WI,City
ktik-nsn.gov,Kickapoo Tribe in Kansas,,KS,Tribal
villageofhubbardston.gov,Village of Hubbardston,,MI,City
swhhsmn.gov,Southwest Health and Human Services,,MN,Special district
comparecaremass.gov,Center for Health Information and Analysis,,MA,State or territory
scottky.gov,Scott County Fiscal Court,,KY,County
morongo-nsn.gov,Morongo Band of Mission Indians,,CA,Tribal
auroramo.gov,City of Aurora,,MO,City
prairieduchien-wi.gov,City of Prairie du Chien,,WI,City
archuletacounty.gov,"Archuleta County, Colorado",,CO,County
locketwpmi.gov,Locke Township,,MI,City - Election
piermont-ny.gov,Village of Piermont,,NY,City
opioids.gov,Department of Health and Human Services,Office of the Secretary of Health and Human Services,DC,Federal - Executive
padillabay.gov,Padilla Bay National Estuarine Research Reserve,,WA,State or territory
fairfieldtexas.gov,"City of Fairfield, TX",,TX,City
clintoncomo.gov,"Clinton County, MO",,MO,County
smithsonian.gov,Smithsonian Institution,,VA,Federal
gallatin-tn.gov,City of Gallatin,,TN,City
